,precision,recall,f1-score,support
Good Credit,0.7619047619047619,0.6857142857142857,0.7218045112781954,140.0
Bad Credit,0.40540540540540543,0.5,0.44776119402985076,60.0
accuracy,0.63,0.63,0.63,0.63
macro avg,0.5836550836550837,0.5928571428571429,0.5847828526540231,200.0
weighted avg,0.6549549549549549,0.63,0.639591516103692,200.0
